id;node_orig;node_dest
1356;86683;4126
1357;88575;88576
1358;88134;88043
1359;85046;4483
1360;4483;83108
1361;75651;1508
1362;77903;87959
1363;53250;18934
1364;67600;69255
1366;85295;3415
1367;66113;61161
1368;4750;61963
1370;80244;54729
1372;61023;61023
1374;11312;10370
1375;54647;22257
1376;61963;3520
1378;8192;4848
1379;24864;24863
1381;6990;75117
1382;13383;16945
1384;1446;161
1385;9941;88828
1386;34552;4533
1387;59626;4641
1388;8389;87288
1389;87288;88380
1390;4704;52488
1391;55018;4704
1392;24371;65274
1393;75201;77713
1394;111625;68003
1395;79770;3403
1396;47140;18783
1397;3520;23856
1398;54887;58634
1399;495;4474
1400;127615;95494
1401;162;4639
1402;88828;81413
1404;79738;88141
1405;79369;88140
1406;73909;22388
1407;61279;75239
1408;23856;3520
1409;75159;87930
1410;81413;88887
1411;58634;58427
1412;58783;4565
1413;23918;23918
1414;80802;3530
1415;127032;118
1416;3523;89640
1418;55760;92988
1419;61126;3343
1420;4848;8192
1421;95494;88886
1422;52488;4704
1423;8389;76447
1425;58427;54887
1426;65141;111625
1428;88871;3030
1429;64508;56176
1431;88401;23920
1432;18934;53250
1434;52648;75126
1435;68155;87546
1436;111930;4724
1437;71140;64667
1438;88979;24352
1439;65178;58416
1440;88887;17545
1441;52648;75126
1442;14133;75651
1443;235;1446
1444;88385;17271
1445;3067;22345
1446;55744;22073
1447;55745;58098
1448;3545;61527
1449;77663;69255
1451;80377;3543
1453;54656;89346
1454;89346;56142
1456;55760;51528
1457;68518;75651
1459;3451;61361
1460;73454;9015
1461;106321;52548
1462;53252;3030
1463;79777;89224
1466;75651;34549
1467;61023;8580
1468;87180;29887
1470;3300;3520
1472;85295;76461
1476;8192;4848
1477;25452;127032
1478;4752;1508
1480;4704;52488
1481;155159;87952
1482;80818;88668
1483;58837;60662
1486;89343;94549
1487;3340;61126
1490;1446;4509
1491;22345;22345
1493;47907;5628
1494;65248;22253
1495;22253;4615
1496;88668;13296
1497;75202;95494
1498;54887;104579
1499;88152;17255
1500;25452;113979
1501;13296;11063
1502;11063;21877
1504;88985;1617
1505;3935;86232
1506;89224;61811
1507;88007;86719
1508;79498;56813
1509;89346;85201
1510;86719;87933
1511;4256;86719
1512;86719;4256
1514;9941;88887
1517;99096;58634
1518;61531;79404
1519;89222;76464
1522;76933;77762
1524;4483;4381
1525;73961;73961
1528;5371;73961
1529;68507;76564
1530;82281;12328
1531;127032;25452
1532;79400;9757
1533;79649;83542
1535;63060;54660
1536;52488;4704
1537;18934;53250
1539;65248;22253
1540;1617;61495
1541;65022;73470
1542;18908;25452
1543;79649;60928
1544;56993;89346
1545;68712;56813
1546;88828;9941
1547;76564;110527
1548;1443;77769
1549;77762;1446
1550;51707;4128
1552;3545;9430
1553;92352;139147
1554;61126;150560
1555;61495;76070
1557;13383;4752
1559;128038;61003
1560;150560;22015
1561;23920;88401
1562;89640;127032
1563;88787;74153
1565;50627;12328
1566;4471;56812
1568;57485;161
1569;9757;51380
1570;68147;13383
1571;75266;64078
1572;53405;77713
1575;275;89224
1577;54660;16746
1578;64078;83001
1579;55110;83001
1580;52442;4310
1581;79776;64078
1582;88384;65375
1584;153077;149569
1585;89222;275
1586;3262;64076
1587;54729;64053
1588;9941;88828
1589;85337;4451
1590;89022;88680
1591;51707;4389
1592;88887;17545
1593;132659;22345
1595;23918;23918
1596;23918;23918
1597;4718;11081
1599;51528;82998
1600;76255;3288
1601;92352;57373
1602;3523;3259
1603;79777;75534
1605;62829;22015
1606;102709;16930
1607;16933;3569
1608;161;1446
1609;51758;58806
1611;79498;66909
1612;8389;30558
1614;3569;18889
1616;65178;17122
1617;5651;63891
1618;4308;4308
1619;235;51705
1620;86366;3589
1621;57534;86366
1622;16737;76070
1623;9526;88828
1624;77106;9345
1625;60323;22722
1626;89348;61963
1627;4612;4610
1628;55382;89031
1629;58806;58806
1631;3428;3565
1632;11286;9913
1633;63891;5649
1635;4234;4256
1636;76933;106555
1637;86277;5154
1638;60662;55436
1639;4246;106723
1640;106723;106723
1641;71686;3581
1642;89222;79776
1643;71649;60662
1646;85201;161
1648;78331;51687
1649;161721;9907
1650;86884;4474
1652;21645;87971
1654;79922;88840
1655;98787;62596
1656;80802;67005
1658;77768;51528
1659;61963;1446
1660;84382;162035
1661;15075;87563
1663;21686;21685
1664;162035;84382
1668;102736;17313
1669;86682;87933
1670;75102;56844
1671;87560;79352
1673;78636;4308
1674;76070;86366
1675;326;290
1676;326;290
1677;48463;11530
1679;36454;36437
1681;11530;11530
1682;79777;3096
1684;162062;106321
1686;106321;88527
1690;259;161
1695;51779;61831
1696;51932;67494
1697;8390;8389
1698;55018;58806
1699;162068;58806
1700;106321;3607
1701;3305;3523
1702;86683;28145
1703;75126;79471
1705;52486;55738
1708;3519;27074
1709;77769;27580
1711;18314;79776
1712;65398;18314
1716;57485;106723
1717;88887;88185
1718;59128;4378
1719;88887;79375
1721;58634;58634
1722;89346;14331
1723;73916;55439
1724;56596;86682
1725;17261;85337
1726;27580;86884
1727;51758;235
1728;58919;128038
1729;88853;128038
1730;127143;127143
1731;85470;159
1732;56298;88542
1733;47698;229
1734;10375;11312
1735;52488;55018
1736;277;51528
1737;76577;89640
1738;55760;161137
1739;51380;9757
1740;29888;56635
1741;18934;61531
1742;2636;68013
1743;55018;4704
1746;3518;54756
1747;3860;86947
1748;4615;22253
1751;88679;4128
1752;92501;85445
1753;52488;6809
1754;69255;53250
1755;12708;47579
1756;142901;88909
1757;3288;103703
1758;3288;76033
1759;61293;88904
1760;11286;24356
1761;22388;79738
1762;3535;83001
1763;18853;70351
1765;76461;61003
1767;88828;17545
1768;88401;23920
1770;94479;79738
1772;88640;3368
1773;75651;49785
1775;77768;127615
1776;51705;11286
1777;22388;24356
1778;61963;1446
1779;127711;1428
1782;79498;56812
1785;64985;23053
1786;3998;92352
1788;67523;52912
1789;4617;60908
1791;78479;88923
1793;125;53770
1794;62229;3629
1796;22491;67005
1797;70351;3569
1798;15352;76978
1799;53269;5314
1800;89640;76577
1801;68810;76604
1802;106723;61276
1803;53786;51843
1805;64790;64790
1807;85295;76461
1809;51757;53049
1810;61280;60707
1811;55001;88680
1812;48559;65273
1813;18362;4848
1814;85444;92501
1815;4126;77182
1816;4704;52488
1817;8192;4848
1819;54756;86884
1820;13383;127032
1821;9757;51380
1823;4731;52488
1824;11312;55841
1827;22253;65248
1828;54887;88401
1830;3518;61360
1831;57972;61340
1832;3368;76749
1834;5120;28457
1835;89400;3520
1836;5648;59071
1837;106821;58035
1838;80802;51646
1839;111625;4574
1840;4615;77755
1841;77755;85523
1842;8580;61023
1843;149494;4488
1846;89400;75236
1847;51687;89338
1848;89338;51687
1849;51687;87587
1850;3557;51687
1851;248;77020
1852;374;107
1853;61279;85201
1856;3441;88380
1858;3566;127143
1859;54649;76070
1860;67494;23910
1862;17222;77762
1863;3030;1446
1865;9913;85091
1867;87959;3288
1868;9014;73454
1870;88923;2636
1871;51380;9757
1872;22592;89640
1873;161137;92988
1874;8389;76447
1875;65248;22253
1876;4610;58416
1878;79393;60663
1881;6599;86687
1882;161;1446
1883;79447;61067
1884;86366;89348
1889;159;86366
1890;71237;75386
1893;355;16735
1896;88173;4579
1897;79498;67005
1898;79512;86719
1899;3520;88556
1901;15764;55110
1902;73454;9015
1903;92931;45183
1904;85528;4419
1905;5245;5134
1906;63883;52912
1907;51883;127646
1908;57717;51760
1909;75152;81973
1910;52916;67523
1911;52912;52912
1912;4608;11283
1914;17223;88380
1915;3807;65430
1917;75202;77804
1918;81973;81973
1919;4704;52488
1920;28435;92963
1921;84382;53809
1922;126;4393
1923;9757;51380
1925;77919;84382
1926;55001;60707
1928;22253;4615
1931;3268;94900
1932;79482;3632
1933;88140;85977
1934;64790;5306
1935;85523;4438
1936;57485;161
1937;4327;85046
1939;15973;105506
1941;54887;104579
1944;67492;87886
1945;61147;63891
1946;63891;5649
1948;63999;278
1949;83907;61495
1950;106555;75211
1951;23003;51755
1952;92352;58038
1953;8757;15973
1954;61023;61023
1955;51635;27580
1956;4419;52177
1958;76255;3316
1959;67005;75239
1960;88887;78254
1961;61000;64192
1963;52544;1443
1964;3262;64076
1965;87369;67492
1966;57425;88886
1968;49777;4617
1969;1446;77762
1970;64060;9913
1971;120733;3298
1972;58634;54887
1973;70780;87462
1974;79555;3273
1975;60707;55002
1977;75117;61527
1978;87747;62230
1979;51762;24352
1980;51843;92988
1981;88031;88169
1982;65215;67484
1983;5122;113977
1984;88668;4381
1985;85337;4474
1986;51907;75152
1987;79400;9748
1988;60030;4912
1989;127032;25452
1990;4474;89222
1991;8389;87288
1992;89222;24373
1993;52488;4704
1995;64078;83001
1996;87887;45183
1997;57985;3589
1998;6197;88628
2001;16515;7969
2002;51615;4128
2003;52648;75126
2006;88401;23920
2008;92501;85444
2009;18934;53250
2010;76997;3791
2011;4565;94549
2012;22179;8337
2013;56826;76054
2016;78309;63440
2017;52519;121062
2019;45183;82961
2020;76062;51571
2021;3594;54660
2022;68518;56813
2026;51761;29951
2028;5294;113977
2031;56992;74895
2033;58092;51400
2034;52912;67523
2035;76033;78539
2036;76539;86720
2037;77762;1446
2038;35754;6971
2039;16737;85295
2040;75651;49785
2041;8821;74959
2042;111181;65243
2043;61000;382
2044;61197;57076
2045;161;1446
2046;45183;105582
2047;58390;3023
2049;29890;56635
2050;86719;53704
2052;111;75385
2053;75299;61197
2054;92496;60163
2055;76072;54945
2056;92988;51843
2057;86366;3398
2061;76054;3740
2062;3607;82280
2066;79489;4721
2067;4550;4550
2068;17312;49783
2069;12708;47579
2070;3398;57283
2072;4553;1498
2073;3298;120733
2074;162067;55002
2076;73909;68105
2077;64811;5294
2079;86451;275
2080;69056;11063
2081;45648;17425
2082;105582;105582
2083;71238;108
2084;29950;78325
2086;103703;75651
2087;109147;88923
2088;57778;53989
2089;58503;78636
2092;275;4620
2094;326;11286
2095;56635;88438
2096;59626;59119
2097;56586;88140
2098;84724;51862
2100;88438;88923
2101;8192;4848
2102;75152;81973
2103;4704;52488
2105;4370;3607
2107;51842;87587
2108;22669;6322
2109;54760;59788
2110;58837;60662
2111;88922;73913
2112;57985;29887
2113;87167;10085
2115;51310;4414
2116;8337;99790
2117;94549;16737
2118;3589;88890
2119;78970;127333
2120;80377;75113
2121;76747;63939
2122;73452;3085
2123;4204;65259
2124;25452;127032
2125;88902;26708
2126;4415;64210
2127;3273;79555
2128;53250;18934
2129;54729;48090
2130;4381;88668
2131;99893;8818
2132;90434;23152
2133;8611;54694
2134;54887;88401
2135;81525;60057
2136;75204;60626
2137;88828;17545
2138;88169;88020
2139;17545;88828
2141;7968;16515
2144;65248;22253
2146;56194;3560
2147;58806;58806
2150;94549;78309
2151;63939;57677
2152;1446;161
2153;86626;56992
2155;88887;79375
2156;127146;54803
2157;4912;48039
2158;3082;85936
2159;24467;68389
2160;53809;3627
2162;56832;88575
2163;75266;16741
2164;162;6737
2165;282;64078
2167;64078;62147
2169;8409;3085
2170;5649;4655
2171;88140;57030
2173;3668;3398
2174;3921;3447
2175;73452;86558
2177;3627;75386
2178;88007;86682
2179;22388;3609
2180;275;89222
2181;49779;86884
2182;3283;79498
2183;9612;64199
2184;112074;13176
2185;47907;5628
2186;55110;61501
2187;154100;16668
2188;52184;79489
2190;54803;64210
2191;27583;88543
2192;3768;77679
2194;86560;78992
2197;77341;49779
2198;18934;53250
2200;6707;3901
2201;78636;58503
2202;22052;22229
2203;16668;27078
2205;79400;9757
2206;55760;109193
2207;87959;55002
2208;9757;51380
2209;85003;88267
2212;110527;95494
2213;84975;75151
2214;110527;95494
2215;90022;52548
2216;54656;61276
2217;79528;86366
2218;86353;89222
2219;84536;4381
2221;36025;6971
2222;16515;7969
2223;127032;118
2224;5563;3334
2225;51760;1441
2227;86884;11188
2228;102709;159
2230;4848;8192
2231;6322;22669
2232;88384;87288
2233;87288;87899
2235;60678;47045
2236;1253;47167
2237;16741;87232
2238;51615;4127
2239;48189;3308
2240;45183;3421
2241;45206;92988
2242;88401;23920
2243;16737;49786
2244;76065;3575
2245;3085;73454
2247;17122;88902
2248;3627;53809
2249;77020;3259
2252;90912;162
2253;94483;86687
2254;60030;61940
2255;22179;8337
2256;10084;113977
2257;57706;76054
2258;88143;6808
2259;11283;4251
2260;61270;79401
2262;78638;49779
2263;78337;58416
2264;59071;47579
2265;51761;88355
2267;51544;54660
2269;4551;3267
2270;88884;51571
2271;56992;74895
2272;88630;65215
2273;74151;74151
2275;4610;87880
2276;52912;67523
2277;161;1446
2278;88575;57717
2279;88492;3589
2280;92363;51646
2281;8760;6651
2282;11530;11530
2283;4620;23856
2284;62792;62792
2285;73909;3582
2286;11530;11530
2287;11530;11530
2288;11530;11530
2289;88828;17545
2290;5358;45187
2291;88543;88680
2293;4415;76070
2294;88680;88543
2298;3162;1450
2299;21878;11614
2300;76054;3365
2301;8570;61023
2304;61965;61137
2305;87436;3403
2308;18783;4700
2309;60906;22345
2310;22345;88376
2311;58037;87970
2312;8863;21645
2313;8389;89647
2314;75076;22345
2315;8390;60971
2316;88380;8174
2317;4595;65375
2318;77099;4393
2320;23909;120733
2323;48558;233
2324;4393;5101
